Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"15.45000","1.28762","4944.38281"
"15.50000","1.29184","4965.74121"
"15.55000","1.29596","4987.04785"
"15.60000","1.30018","5008.17285"
"15.65000","1.30430","5029.23779"
"15.70000","1.30852","5050.75586"
"15.75000","1.31264","5072.16211"
"15.80000","1.31676","5094.40820"
"15.85000","1.32089","5116.15918"
"15.90000","1.32510","5135.99463"
"15.95000","1.32932","5157.45947"
"16.00000","1.33344","5180.40869"
"16.05000","1.33766","5201.75342"
"16.10000","1.34178","5223.49854"
"16.15000","1.34591","5244.99463"
"16.20000","1.35012","5267.33789"
"16.25000","1.35425","5289.23291"
"16.30000","1.35846","5311.14062"
"16.35000","1.36259","5333.12451"
"16.40000","1.36690","5354.13330"
"16.45000","1.37102","5375.05615"
"16.50000","1.37514","5397.78271"
"16.55000","1.37936","5420.37744"
"16.60000","1.38358","5441.81152"
"16.65000","1.38770","5463.82373"
"16.70000","1.39182","5486.89111"
"16.75000","1.39604","5508.39111"
"16.80000","1.40016","5530.47119"
"16.85000","1.40438","5552.33496"
"16.90000","1.40850","5573.79492"
"16.95000","1.41272","5595.66797"
"17.00000","1.41684","5616.88379"
"17.05000","1.42097","5639.79883"
"17.10000","1.42518","5661.69873"
"17.15000","1.42931","5684.07617"
"17.20000","1.43343","5706.79980"
"17.25000","1.43765","5729.24316"
"17.30000","1.44177","5751.38867"
"17.35000","1.44589","5774.08691"
"17.40000","1.45011","5797.35303"
"17.45000","1.45433","5819.98096"
"17.50000","1.45845","5842.00244"
"17.55000","1.46267","5865.22949"
"17.60000","1.46688","5888.07617"
"17.65000","1.47101","5911.08105"
"17.70000","1.47513","5935.55518"
"17.75000","1.47944","5958.25146"
"17.80000","1.48356","5981.79150"
"17.85000","1.48769","6005.44629"
"17.90000","1.49181","6028.87061"
"17.95000","1.49603","6051.71240"
"18.00000","1.50015","6074.62793"
"18.05000","1.50427","6097.98340"
"18.10000","1.50849","6121.58203"
"18.15000","1.51271","6144.88672"
"18.20000","1.51683","6169.42090"
"18.25000","1.52105","6193.30225"
"18.30000","1.52517","6215.90479"
"18.35000","1.52929","6239.43896"
"18.40000","1.53351","6263.41162"
"18.45000","1.53772","6286.51660"
"18.50000","1.54185","6309.49512"
"18.55000","1.54597","6332.37207"
"18.60000","1.55019","6356.32666"
"18.65000","1.55440","6380.17139"
"18.70000","1.55853","6404.07666"
"18.75000","1.56265","6427.30762"
"18.80000","1.56687","6451.13965"
"18.85000","1.57099","6474.82812"
"18.90000","1.57511","6497.80713"
"18.95000","1.57933","6520.96289"
"19.00000","1.58345","6543.98047"
"19.05000","1.58758","6566.39111"
"19.10000","1.59179","6590.34766"
"19.15000","1.59592","6614.70020"
"19.20000","1.60004","6639.35938"
"19.25000","1.60426","6662.53027"
"19.30000","1.60847","6685.79395"
"19.35000","1.61260","6711.04639"
"19.40000","1.61681","6734.59033"
"19.45000","1.62094","6758.71533"
"19.50000","1.62515","6782.80957"
"19.55000","1.62928","6807.05664"
"19.60000","1.63349","6831.02686"
"19.65000","1.63771","6855.92969"
"19.70000","1.64183","6881.14746"
"19.75000","1.64605","6905.38281"
"19.80000","1.65017","6930.34766"
"19.85000","1.65430","6956.25195"
"19.90000","1.65851","6980.74756"
"19.95000","1.66264","7004.89941"
"20.00000","1.66685","7029.61670"
"20.05000","1.67098","7054.44238"
"20.10000","1.67510","7077.95850"
"20.15000","1.67932","7103.12207"
"20.20000","1.68353","7128.43555"
"20.25000","1.68766","7153.62354"
