Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"20.15000","1.67932","8616.31348"
"20.20000","1.68353","8646.15625"
"20.25000","1.68775","8675.17871"
"20.30000","1.69187","8703.39160"
"20.35000","1.69600","8731.99902"
"20.40000","1.70012","8759.79980"
"20.45000","1.70434","8788.60156"
"20.50000","1.70846","8817.55371"
"20.55000","1.71258","8845.27246"
"20.60000","1.71680","8873.64648"
"20.65000","1.72092","8902.03223"
"20.70000","1.72504","8931.17773"
"20.75000","1.72926","8959.06543"
"20.80000","1.73348","8988.64160"
"20.85000","1.73760","9017.99805"
"20.90000","1.74182","9046.75098"
"20.95000","1.74594","9076.47949"
"21.00000","1.75006","9106.04492"
"21.05000","1.75428","9135.40918"
"21.10000","1.75850","9163.91797"
"21.15000","1.76262","9193.86426"
"21.20000","1.76674","9221.98438"
"21.25000","1.77105","9253.44238"
"21.30000","1.77518","9283.57715"
"21.35000","1.77930","9313.54883"
"21.40000","1.78342","9342.01074"
"21.45000","1.78764","9371.45801"
"21.50000","1.79176","9401.56836"
"21.55000","1.79589","9430.85938"
"21.60000","1.80010","9462.39062"
"21.65000","1.80432","9491.84570"
"21.70000","1.80854","9521.94434"
"21.75000","1.81266","9549.69434"
"21.80000","1.81688","9578.21680"
"21.85000","1.82100","9608.50781"
"21.90000","1.82522","9638.62891"
"21.95000","1.82943","9666.81348"
"22.00000","1.83356","9696.99512"
"22.05000","1.83768","9725.65625"
"22.10000","1.84190","9753.87207"
"22.15000","1.84602","9783.64844"
"22.20000","1.85014","9812.49707"
"22.25000","1.85436","9839.24902"
"22.30000","1.85848","9869.02832"
"22.35000","1.86261","9898.98438"
"22.40000","1.86673","9927.88867"
"22.45000","1.87095","9956.37891"
"22.50000","1.87507","9985.73535"
"22.55000","1.87929","10014.58008"
"22.60000","1.88341","10042.56934"
"22.65000","1.88763","10071.96582"
"22.70000","1.89175","10102.11328"
"22.75000","1.89597","10130.41016"
"22.80000","1.90018","10159.23535"
"22.85000","1.90431","10189.02246"
"22.90000","1.90843","10218.10938"
"22.95000","1.91265","10247.92676"
"23.00000","1.91686","10277.85156"
"23.05000","1.92098","10306.88965"
"23.10000","1.92520","10335.95508"
"23.15000","1.92932","10364.98926"
"23.20000","1.93345","10397.12988"
"23.25000","1.93766","10427.56641"
"23.30000","1.94188","10454.26074"
"23.35000","1.94600","10484.11035"
"23.40000","1.95013","10513.40625"
"23.45000","1.95434","10542.74023"
"23.50000","1.95847","10572.45703"
"23.55000","1.96259","10601.95020"
"23.60000","1.96681","10630.10742"
"23.65000","1.97102","10658.32031"
"23.70000","1.97505","10687.51270"
"23.75000","1.97927","10716.23730"
"23.80000","1.98349","10744.90527"
"23.85000","1.98761","10773.93945"
"23.90000","1.99183","10802.47070"
"23.95000","1.99595","10829.71094"
"24.00000","2.00017","10858.12500"
"24.05000","2.00429","10888.04395"
"24.10000","2.00851","10915.33496"
"24.15000","2.01263","10943.92578"
"24.20000","2.01675","10972.73340"
"24.25000","2.02097","11000.24512"
"24.30000","2.02519","11027.63672"
"24.35000","2.02931","11055.12402"
"24.40000","2.03343","11081.58105"
"24.45000","2.03765","11110.06445"
"24.50000","2.04177","11138.23047"
"24.55000","2.04590","11166.01855"
"24.60000","2.05011","11192.83203"
"24.65000","2.05424","11220.44727"
