Specimen properties : Length,100,mm
Specimen properties : Thickness,1,mm
Specimen properties : Width,10,mm
Test : Rate 1,5,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
92.15,7.67935,24601.56641
92.2,7.68357,24584.70508
92.25,7.68769,24568.14258
92.3,7.69191,24551
92.35,7.69603,24532.99219
92.4,7.70015,24515.24219
92.45,7.70437,24497.2832
92.5,7.70849,24478.62695
92.55,7.71271,24461.09961
92.6,7.71683,24443.29688
92.65,7.72105,24424.48242
92.7,7.72508,24406.29883
92.75,7.72929,24390.10352
92.8,7.73342,24370.54297
92.85,7.73763,24352.03711
92.9,7.74176,24333.41992
92.95,7.74597,24314.98242
93,7.75019,24296.7793
93.05,7.75431,24278.39258
93.1,7.75844,24260.19336
93.15,7.76265,24241.04688
93.2,7.76687,24219.23438
93.25,7.77099,24198.95703
93.3,7.77502,24180.56445
93.35,7.77933,24161.56836
93.4,7.78346,24142.65625
93.45,7.78758,24122.94531
93.5,7.7918,24103.09375
93.55,7.79601,24083.49805
93.6,7.80014,24063.51758
93.65,7.80435,24044.6875
93.7,7.80848,24025.16602
93.75,7.8126,24006.12695
93.8,7.81672,23986.33594
93.85,7.82103,23966.70312
93.9,7.82515,23947.55859
93.95,7.82928,23929.18945
94,7.83349,23909.10742
94.05,7.83771,23889.74023
94.1,7.84184,23869.6582
94.15,7.84605,23848.72656
94.2,7.85017,23829.4375
94.25,7.8543,23809.62695
94.3,7.85851,23789.85742
94.35,7.86273,23768.30078
94.4,7.86685,23746.92188
94.45,7.87098,23726.78711
94.5,7.87519,23704.30078
94.55,7.87941,23682.99609
94.6,7.88344,23660.95117
94.65,7.88766,23638.76758
94.7,7.89187,23621.86719
94.75,7.896,23599.04492
94.8,7.90012,23575.13867
94.85,7.90434,23551.66211
94.9,7.90855,23529.95117
94.95,7.91258,23505.35742
95,7.91689,23482.83008
95.05,7.92102,23458.89453
95.1,7.92514,23435.9043
95.15,7.92936,23412.75781
95.2,7.93348,23390.55664
95.25,7.9376,23368.94922
95.3,7.94173,23347.30859
95.35,7.94594,23324.21094
95.4,7.95016,23302.39453
95.45,7.95428,23279.94336
95.5,7.9585,23257.4082
95.55,7.96262,23234.26562
95.6,7.96684,23209.99414
95.65,7.97096,23185.51953
95.7,7.97518,23160.28125
95.75,7.9793,23137.5
95.8,7.98343,23113.91406
95.85,7.98764,23089.87109
95.9,7.99186,23064.45508
95.95,7.99598,23040.75586
96,8.0002,23015.91602
96.05,8.00442,22992.67383
96.1,8.00854,22969.33008
96.15,8.01276,22943.88672
96.2,8.01697,22918.47656
96.25,8.0211,22893.26562
96.3,8.02522,22869.36719
96.35,8.02944,22843.04492
96.4,8.03356,22817.4043
96.45,8.03768,22792.44727
96.5,8.0418,22766.46875
96.55,8.04602,22739.67578
96.6,8.05014,22712.51758
96.65,8.05436,22685.17969
96.7,8.05848,22657.35547
96.75,8.06261,22631.33789
96.8,8.06682,22607.54297
96.85,8.07095,22577.2832
96.9,8.07507,22546.85352
96.95,8.07919,22516.94141
97,8.08332,22490.46484
97.05,8.08763,22463.04102
97.1,8.09175,22434.79492
97.15,8.09587,22404.98438
97.2,8.10009,22372.89648
97.25,8.10421,22340.08984
97.3,8.10843,22308.09375
97.35,8.11255,22274.23438
97.4,8.11677,22239.99609
97.45,8.12089,22200.30664
97.5,8.12511,22134.72852
97.526,8.12811,12396.30176
