Specimen properties : Length,100,mm
Specimen properties : Thickness,1,mm
Specimen properties : Width,10,mm
Test : Rate 1,5,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
26.6,2.21672,21281.83008
26.65,2.22094,21323.18555
26.7,2.22506,21364.29102
26.75,2.22928,21406.18555
26.8,2.2334,21446.91602
26.85,2.23762,21486.57617
26.9,2.24174,21526.34961
26.95,2.24587,21567.12695
27,2.25008,21606.38281
27.05,2.25421,21647.5293
27.1,2.25833,21688.13867
27.15,2.26255,21730.69336
27.2,2.26676,21772.38477
27.25,2.27088,21814.35156
27.3,2.27501,21855.11523
27.35,2.27932,21895.89258
27.4,2.28344,21937.60352
27.45,2.28756,21978.58789
27.5,2.29178,22019.51367
27.55,2.2959,22061.22656
27.6,2.30003,22102.00586
27.65,2.30424,22142.60156
27.7,2.30837,22183.76172
27.75,2.31249,22225.95703
27.8,2.31671,22266.74414
27.85,2.32092,22308.35352
27.9,2.32505,22350.12891
27.95,2.32917,22390.78711
28,2.33339,22431.99219
28.05,2.33751,22473.74609
28.1,2.34173,22516.64258
28.15,2.34585,22559.0625
28.2,2.35007,22600.32422
28.25,2.35428,22642.93945
28.3,2.35841,22685.27734
28.35,2.36262,22728.82031
28.4,2.36675,22770.55078
28.45,2.37096,22811.83203
28.5,2.37509,22851.70703
28.55,2.3793,22890.51367
28.6,2.38343,22931.20703
28.65,2.38755,22972.56641
28.7,2.39177,23012.26172
28.75,2.39589,23053.37109
28.8,2.40001,23094.78906
28.85,2.40423,23135.25
28.9,2.40835,23175.78906
28.95,2.41248,23216.04688
29,2.41669,23255.125
29.05,2.42091,23295.71875
29.1,2.42503,23336.57227
29.15,2.42916,23377.88867
29.2,2.43337,23418.14648
29.25,2.43759,23459.23438
29.3,2.44171,23499.81836
29.35,2.44593,23540.9668
29.4,2.45005,23582.42188
29.45,2.45427,23625.66211
29.5,2.45849,23666.16602
29.55,2.46261,23705.05859
29.6,2.46673,23746.01562
29.65,2.47085,23788.14258
29.7,2.47507,23828.01562
29.75,2.47919,23869.37305
29.8,2.48332,23911.11328
29.85,2.48753,23952.48633
29.9,2.49175,23994.18359
29.95,2.49587,24035.17578
30,2.50009,24077.25977
30.05,2.50431,24118.5332
30.1,2.50843,24158.94336
30.15,2.51255,24200.19727
30.2,2.51668,24240.86523
30.25,2.52089,24280.91016
30.3,2.52502,24323.20312
30.35,2.52923,24364.00586
30.4,2.53345,24404.85156
30.45,2.53757,24444.74414
30.5,2.5417,24484.79297
30.55,2.54591,24524.0957
30.6,2.55013,24562.47266
30.65,2.55416,24602.91602
30.7,2.55838,24643.71875
30.75,2.5625,24683.5625
30.8,2.56672,24724.67969
30.85,2.57093,24764.06055
30.9,2.57506,24804.07031
30.95,2.57918,24841.69336
31,2.5834,24879.38867
31.05,2.58752,24915.41406
31.1,2.59174,24951.3457
31.15,2.59586,24989.33008
31.2,2.60008,25026.47266
31.25,2.6042,25061.01172
31.3,2.60832,25094.91211
31.35,2.61254,25130.05078
31.4,2.61676,25162.5625
31.45,2.62088,25193.27734
31.5,2.625,25221.14844
31.55,2.62922,25243.32422
31.6,2.63344,25260.68945
31.65,2.63756,25272.69336
31.7,2.64168,25277.36133
31.75,2.6459,25274.46094
31.8,2.65002,25270.28711
31.85,2.65424,25267.99219
31.9,2.65846,25266.49023
31.95,2.66258,25263.43164
32,2.6667,25254.48242
32.05,2.67092,25242.25977
32.1,2.67514,25233.33398
32.15,2.67926,25227.48047
32.2,2.68348,25220.39062
