Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"18.00000","1.50005","13774.52148"
"18.05000","1.50418","13815.04395"
"18.10000","1.50830","13854.12109"
"18.15000","1.51261","13894.29980"
"18.20000","1.51673","13935.60742"
"18.25000","1.52086","13976.52930"
"18.30000","1.52507","14017.78418"
"18.35000","1.52920","14058.93750"
"18.40000","1.53332","14099.82422"
"18.45000","1.53754","14140.15332"
"18.50000","1.54166","14181.21289"
"18.55000","1.54578","14222.03320"
"18.60000","1.54991","14262.49023"
"18.65000","1.55412","14303.22949"
"18.70000","1.55834","14344.07715"
"18.75000","1.56256","14386.51074"
"18.80000","1.56668","14428.58105"
"18.85000","1.57090","14469.72363"
"18.90000","1.57502","14511.55566"
"18.95000","1.57914","14552.54688"
"19.00000","1.58345","14593.86035"
"19.05000","1.58758","14634.11426"
"19.10000","1.59170","14674.37891"
"19.15000","1.59592","14714.21289"
"19.20000","1.60013","14754.51855"
"19.25000","1.60426","14796.79395"
"19.30000","1.60838","14837.73438"
"19.35000","1.61260","14878.62500"
"19.40000","1.61672","14918.92773"
"19.45000","1.62084","14960.01953"
"19.50000","1.62506","15001.76758"
"19.55000","1.62918","15042.00879"
"19.60000","1.63331","15083.00488"
"19.65000","1.63743","15123.52637"
"19.70000","1.64165","15162.77051"
"19.75000","1.64577","15204.08691"
"19.80000","1.64999","15245.15137"
"19.85000","1.65420","15285.70020"
"19.90000","1.65833","15325.34180"
"19.95000","1.66245","15366.28906"
"20.00000","1.66676","15407.75195"
"20.05000","1.67088","15449.32617"
"20.10000","1.67510","15488.43848"
"20.15000","1.67932","15528.19922"
"20.20000","1.68353","15568.06250"
"20.25000","1.68766","15608.75000"
"20.30000","1.69178","15650.74512"
"20.35000","1.69600","15690.39941"
"20.40000","1.70012","15731.40332"
"20.45000","1.70424","15772.55859"
"20.50000","1.70846","15813.41602"
"20.55000","1.71258","15852.61230"
"20.60000","1.71670","15893.07812"
"20.65000","1.72083","15932.19922"
"20.70000","1.72504","15973.13477"
"20.75000","1.72926","16015.35254"
"20.80000","1.73338","16056.11133"
"20.85000","1.73760","16097.63477"
"20.90000","1.74182","16138.42090"
"20.95000","1.74594","16178.62988"
"21.00000","1.75016","16220.22363"
"21.05000","1.75437","16260.99609"
"21.10000","1.75850","16301.05566"
"21.15000","1.76262","16341.87988"
"21.20000","1.76693","16381.40039"
"21.25000","1.77105","16421.92383"
"21.30000","1.77518","16462.83594"
"21.35000","1.77930","16503.38867"
"21.40000","1.78342","16542.89453"
"21.45000","1.78755","16584.31055"
"21.50000","1.79176","16624.59766"
"21.55000","1.79589","16665.15820"
"21.60000","1.80001","16705.86328"
"21.65000","1.80413","16746.03516"
"21.70000","1.80835","16785.45508"
"21.75000","1.81247","16825.48047"
"21.80000","1.81660","16866.69922"
"21.85000","1.82081","16907.90625"
"21.90000","1.82503","16947.50195"
"21.95000","1.82915","16987.37500"
"22.00000","1.83337","17028.94531"
"22.05000","1.83749","17070.61328"
"22.10000","1.84171","17112.16406"
"22.15000","1.84583","17152.23828"
"22.20000","1.85014","17192.31250"
"22.25000","1.85427","17232.43359"
"22.30000","1.85839","17272.70898"
"22.35000","1.86251","17313.63086"
"22.40000","1.86673","17353.80664"
"22.45000","1.87085","17393.88477"
"22.50000","1.87507","17435.33984"
"22.55000","1.87919","17475.61719"
"22.60000","1.88331","17517.03906"
"22.65000","1.88744","17556.90234"
"22.70000","1.89175","17597.89062"
"22.75000","1.89587","17637.04492"
"22.80000","1.89999","17677.64062"
"22.85000","1.90421","17718.26367"
"22.90000","1.90843","17757.96484"
"22.95000","1.91255","17797.82422"
"23.00000","1.91667","17839.06836"
"23.05000","1.92089","17880.26367"
"23.10000","1.92511","17919.02734"
"23.15000","1.92923","17959.46289"
"23.20000","1.93345","17999.69141"
"23.25000","1.93757","18039.05469"
"23.30000","1.94179","18078.57227"
"23.35000","1.94591","18118.78125"
"23.40000","1.95013","18157.90625"
"23.45000","1.95425","18197.26562"
"23.50000","1.95828","18238.08008"
"23.55000","1.96250","18277.97656"
"23.60000","1.96662","18317.26562"
"23.65000","1.97074","18357.51758"
"23.70000","1.97496","18397.02930"
"23.75000","1.97918","18435.94531"
"23.80000","1.98330","18473.69922"
"23.85000","1.98752","18512.25586"
"23.90000","1.99164","18550.78320"
"23.95000","1.99586","18589.19727"
"24.00000","1.99998","18630.08398"
"24.05000","2.00420","18670.08789"
"24.10000","2.00841","18708.44531"
"24.15000","2.01254","18745.52148"
"24.20000","2.01675","18784.23633"
"24.25000","2.02097","18822.45703"
"24.30000","2.02509","18859.59961"
"24.35000","2.02922","18897.95898"
"24.40000","2.03343","18934.12695"
"24.45000","2.03756","18971.75781"
